,Lat. Grad,Lat. Min.,Long. Grad,Long. Min.,,Gebiet,Punkt Nr.,Lat. Grad in Dezimal,Long. Grad in Dezimal,Typ,Frequenz,Info,Min_GT,Gefahrgut_Pflicht,Nur_Tanker,Nur_Internationale_Fahrt,Min_TDW,Tanker_Oder_Gefahrgut,Schweroel_Pflicht,Pflicht_Typ,Ladungsbedingung,Radius_NM,Dauerpflicht,Meldeinhalt,Faehre_Hinweis,LNG_Hinweis,GT_Ausnahme_Bei_Einschraenkung,Threshold_Characteristic,Threshold_Operator,Threshold_Value,Threshold_Unit,Applicable_Vessel_Types,Excluded_Vessel_Types,Government_Vessel_Exempt,Requires_Cargo_Type,Requires_IMDG,Report_Types,Notice_Time_Hours,Notice_Time_Text,Relationship_Type,Traffic_Flow,Source_Type,Source_Reference,Frequenz_SW_Bound
,50,59.95,1,44.1,,,5,50.99916667,1.735,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,1,1,45.84,,,6,51.01666667,1.764,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,1,1,48.53,,,7,51.01666667,1.808833333,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,50,59.61,1,54.89,,,8,50.9935,1.914833333,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,50,59.02,1,54.89,,,9,50.98366667,1.914833333,VTS,17,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,VTS,,,300,Egal,Nein,Nein,0,Nein,Nein,,,0,,,,,,,,,,,,,,,,,,,,,,
Dunkirk VTS,51,0.6,2,7.1,,Dunkirk VTS,1,51.01,2.118333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,"Continuous listening watch on Ch73 within the regulated zone/access channels/discharge area. Ships subject to SURNAV: additionally maintain continuous watch on Gris-Nez Ch13 while transiting the Dover Strait TSS -> Dunkirk. Vessels approaching from the W should contact Dunkerque Ouest on passing DW10 Lt buoy; vessels approaching from the E bound for Port Ouest must report to both Dunkerque VTS and Dunkerque Ouest on passing DW24 Lt buoy (buoy positions not given in the source text - not checkable). LNG tankers: separate ETA chain (on departure from loading port + every 24h thereafter), contact Ch73+Ch72 2h before pilot boarding, 0.5nm exclusion zone around anchored LNG ships (geometry not specified in the source text - not checkable). Waiting area: vessels obliged to anchor there must contact Pilotage de Dunkerque on Ch72 2h before ETA at the pilot boarding place (or ASAP if leaving a port less than 2h away), confirming 1h before arrival, and maintain continuous watch on Ch72 (exact coordinates of the waiting area not given in the source text - not checkable).","48h ETA via agent (the 12h ETA message addressed to the pilotage office must also be sent to the Harbour Master). 2h before entry on Ch73: ETA at Dyck/E12 Lt buoy or similar, draught, damage/deficiencies, ISPS if applicable. Ships not subject to compulsory pilotage 1h prior: deficiencies, max. draught, ETA breakwaters, mooring line requirements.",,"LNG-specific: ETA at Dyck Lt buoy via agent on departure from loading port + any change of plan, at least 4 days in advance, then every 24h thereafter. Additionally 48h ETA directly to Harbour Master + pilots, 12h confirmation to agent/Harbour Master/pilots/terminal. Contact Ch73 (Dunkirk VTS) + Ch72 (Pilotage) 2h before the pilot boarding position. Note: the 0.5nm exclusion zone around anchored LNG ships also applies during pilot boarding.",,gross_tonnage,greater_than_or_equal,300,gross_ton,,,Nein,,any,8,"48,12,2",LNG tankers follow a separate ETA chain (see LNG note).,required,two_way,products_issued_by_HO_services,"ADP/ALRS Vol 6, France - Dunkerque, Vessel Traffic Service, Procedure (1)-(11)",
,51,1.9,2,7.1,,,2,51.03166667,2.118333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,1.9,1,57.2,,,3,51.03166667,1.953333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,1.64,1,50.44,,,4,51.02733333,1.840666667,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,1,1,48.53,,,5,51.01666667,1.808833333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,1,1,45.84,,,6,51.01666667,1.764,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,50,59.95,1,44.1,,,7,50.99916667,1.735,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,0.95,1,42.32,,,8,51.01583333,1.705333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,4.9,1,48.1,,,9,51.08166667,1.801666667,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,5.4,1,50.4,,,10,51.09,1.84,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,9.9,2,9.9,,,11,51.165,2.165,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,4.7,2,22.3,,,12,51.07833333,2.371666667,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,4.5,2,23.4,,,13,51.075,2.39,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,5.3,2,28.1,,,14,51.08833333,2.468333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,7.9,2,30.5,,,15,51.13166667,2.508333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,7.1,2,31.2,,,16,51.11833333,2.52,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,6.4,2,31.2,,,17,51.10666667,2.52,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,4.8,2,28.7,,,18,51.08,2.478333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
,51,3.6,2,21.2,,,19,51.06,2.353333333,VTS,73,,300,Egal,Nein,Nein,0,Nein,Nein,verpflichtend,keine,0,,,,,,,,,,,,,,,,,,,,,,
Cap d'Antifer,49,41.10,0,09.93,,SURNAV Gris-Nez,1,49.68500,0.16550,SURNAV,,Zustaendig: CROSS Gris-Nez (fuer Passage oestlich dieser Linie). Vorlaufzeit: 6h vor Einfahrt franz. Hoheitsgewaesser bzw. 6h vor Abfahrt.,0,Egal,Egal,Nein,0,Ja,Nein,ladungsabhaengig,Tankschiffe/Gefahrgutschiffe gemaess MARPOL Anlage I/II/III oder IMDG/IBC/IGC Code,0,"Continuous listening watch on DSC 2187.5kHz + VHF Ch70 + Ch16 for the entire passage/stay in French territorial/coastal waters (except alongside). In the event of any accident (collision, grounding, damage, breakdown, loss of cargo etc.) report IMMEDIATELY ('SURNAV-AVARIES') - this accident-reporting obligation applies to ALL ships >=300GT in the French economic zone, regardless of cargo (not only ships subject to the cargo-based reporting requirement).","SURNAV-FRANCE: Ship name/call sign/flag, date/time, position, course, speed, last port, time of entering/leaving French territorial waters, destination, time of leaving, radio watch, draught, cargo (MARPOL category), defects, ship type.",,,,none,,,,,,Nein,,any,"2,8",6,"6h before entering French territorial waters, or 6h before departure; no need to resend if territorial waters are left/re-entered during normal transit. Accident reports (SURNAV-AVARIES) must be sent IMMEDIATELY.",required,two_way,products_issued_by_HO_services,"ADP/ALRS Vol 6, France - SURNAV (Atlantic & English Channel Coasts), Procedure (1)-(8)",
Greenwich Lt F,50,24.52,0,00.11,,,2,50.40867,-0.00183,SURNAV,,,0,Egal,Egal,Nein,0,Ja,Nein,ladungsabhaengig,Tankschiffe/Gefahrgutschiffe gemaess MARPOL Anlage I/II/III oder IMDG/IBC/IGC Code,0,,,,,,,,,,,,,,,,,,,,,,
a,58,30.00,3,08.03,,WETREP,1,58.50000,-3.13383,WETREP,,Nur Oeltanker >600 tdw mit Schweroel/Schweroelkraftstoff (Dichte >900kg/m3 bei 15C bzw. Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung. Datum: WGS84.,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,Exemption: does NOT apply to warships/naval auxiliaries in non-commercial government service. No repeat report required on re-entering the area as part of normal transit through it (only on initial entry and final departure).,"A: Name/call sign/IMO/MMSI. B: Time group (UTC). C: Position. E: Course. F: Speed. G: Last port. I: Destination+ETA. P: Oil cargo type/quantity/density (+ any additional dangerous goods). Q: Defects/restrictions. T: Contact for cargo information. W: Number of persons. X: Bunker quantity (>5000t), navigational status. Three report types: Sailing Plan (on entering the reporting area / departing port), Final Report (on leaving the reporting area / arriving in port), Deviation Report (on deviating from route).",,,,deadweight_tonnage,greater_than,600,metric_ton,"3,19",10,Ja,,any,"1,3,4",,"Event-triggered: on entry into the Reporting Area, on departure from a port/terminal/anchorage within it, on deviation from the declared route, and on final exit - not a fixed hours-before schedule.",required,two_way,products_issued_by_HO_services,"ADP/ALRS Vol 6, Ship Reporting Systems - West European Tanker Reporting System (WETREP), Procedure (1)-(9)",
b,58,30.00,0,00.00,,,2,58.50000,0.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
c,62,00.00,0,00.00,,,3,62.00000,0.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
d,62,00.00,3,00.00,,,4,62.00000,-3.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
e,56,30.00,12,00.00,,,5,56.50000,-12.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
f,54,40.68,15,00.00,,,6,54.67800,-15.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
g,50,56.75,15,00.00,,,7,50.94583,-15.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
h,48,27.00,6,25.00,,,8,48.45000,-6.41667,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
i,48,27.00,8,00.00,,,9,48.45000,-8.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
j,44,52.00,3,10.00,,,10,44.86667,-3.16667,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
k,44,52.00,10,00.00,,,11,44.86667,-10.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
l,44,14.00,11,34.00,,,12,44.23333,-11.56667,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
m,42,55.00,12,18.00,,,13,42.91667,-12.30000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
n,41,50.00,11,34.00,,,14,41.83333,-11.56667,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
o,37,00.00,9,49.00,,,15,37.00000,-9.81667,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
p,36,20.00,9,00.00,,,16,36.33333,-9.00000,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
q,36,20.00,7,47.00,,,17,36.33333,-7.78333,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
r,37,10.00,7,25.00,,,18,37.16667,-7.41667,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
s,51,22.42,3,21.87,,,19,51.37367,3.36450,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
t,52,12.00,1,37.50,,,20,52.20000,1.62500,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
u,52,10.05,6,21.13,,,21,52.16750,-6.35217,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
v,52,01.86,5,04.30,,,22,52.03100,-5.07167,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
w,54,51.71,5,08.78,,,23,54.86183,-5.14633,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
x,54,40.65,5,34.56,,,24,54.67750,-5.57600,WETREP,,,0,Egal,Ja,Nein,600,Nein,Ja,ladungsabhaengig,"Oeltanker >600 tdw mit Schweroel (Dichte >900kg/m3 bei 15C), Schweroelkraftstoff (Dichte >900kg/m3 oder Viskositaet >180mm2/s bei 50C) oder Bitumen/Teer als Ladung",0,,,,,,,,,,,,,,,,,,,,,,
Dover VTS (Hafeneinfahrt),51,07.05,1,20.14,,Dover VTS,1,51.11750,1.33567,VTS,74,"Inward-bound only: Meldepflicht gilt nur wenn Dover tatsaechlich Zielhafen ist (automatisch aus letztem Wegpunkt der Route erkannt), nicht bei reinem Durchtransit. Meldezeitpunkte: Point Zulu (3.0nm vom Hafeneingang), Point Echo (35min vom Hafeneingang), 1h vor Pilot Station (ETA, Navigationsstatus, Schleppbedarf, LOA/Tiefgang, Gefahrgut, Personenzahl) an Dover VTS Ch74.",0,Egal,Nein,Nein,0,Nein,Nein,bedingt_inbound,keine,3.0,"Continuous listening watch on Ch74. After berthing: confirm whether the anchor has been weighed or is still out. In the event of any incident involving collision, fire, grounding, or heavy contact with port structures, or a near miss with another vessel/structure within Dover Harbour limits, a Pilotage Incident Report must be completed.","Pilot ordering: every commercial vessel intending to enter the Port of Dover must report to Dover VTS on Ch74 at least 2h from the Pilot Station. Commercial ships 1h before the pilot station on Ch74: ETA pilot station, confirmation of navigational equipment/defects, tug requirement, LOA/draught, dangerous goods, number of persons. ALL ships at Point Zulu (3.0nm from the harbour entrance): ETA. Ferries additionally at Point Zulu: VHF contact + PEC number of the master/OOW; at Point Echo (35min from the harbour entrance, time-based - cannot be represented as geometry): ETA harbour entrance for priority slot time (if delayed: report revised ETA).","Ferry-specific (inbound): at Point Zulu establish VHF contact + provide PEC number, Dover VTS will instruct approach or entry clearance. At Point Echo (35min from the harbour entrance) provide ETA - Dover VTS assigns a priority slot time for the eastern entrance; if delayed, a revised ETA MUST be reported.",,,none,,,,,,Nein,,any,8,"2,1","All vessels additionally report at Point Zulu (3nm); ferries also at Point Echo (35min, time-based).",required,inbound,products_issued_by_HO_services,"ADP/ALRS Vol 6, United Kingdom - Dover, Vessel Traffic Service, Procedure (1)-(6)",
Ramsgate (Point Romeo),,,,,,Ramsgate,1,51.32517,1.45483,Reporting Point,14,"Point Romeo: Mittelpunkt zwischen Lt buoy No 1 (51 19.56'N, 1 27.29'E) und Lt buoy No 2 (51 19.46'N, 1 27.29'E). Inward-bound only: Meldepflicht gilt nur wenn Ramsgate tatsaechlich Zielhafen ist (automatisch aus letztem Wegpunkt der Route erkannt), nicht bei reinem Durchtransit. Gilt nur fuer Schiffe >20m LOA OHNE Lotsen an Bord (nicht in der Logik geprueft, bitte manuell beachten). Meldezeitpunkte: 1h und 30min vor Point Romeo, bei Point Romeo, bei Kanaleinfahrt, bei Festmachen. Kanal: Ch14 (Local Port Service), Ch68 (Notfall-Ausweichkanal).",0,Egal,Nein,Nein,0,Nein,Nein,bedingt_inbound,keine,2.5,Listening watch on Ch14 for all ships within the port limits/approaches.,"Ships NOT subject to compulsory pilotage (>20m LOA): 1h + 30min before Point Romeo, at Point Romeo, on entering the channel, on berthing (high speed craft: only the 30min report is required). Ships subject to compulsory pilotage: 12h + 2h before arrival at the pilot boarding position - this reporting requirement applies in addition to the '>20m LOA without pilot' condition, not only to ships not subject to compulsory pilotage.",,,,length_overall,greater_than,20,metre,,,Nein,,any,8,1,30min report also required (non-piloted vessels); piloted vessels report 12h+2h before the pilot boarding position.,required,inbound,products_issued_by_HO_services,"ADP/ALRS Vol 6, United Kingdom - Ramsgate, Local Port Service, Procedure (2)",
,,,,,Dover VTS (Outbound),Dover VTS (Outbound),1,51.11750,1.33567,VTS,74,,0,Egal,Nein,Nein,0,Nein,Nein,bedingt_outbound,keine,3.0,"Channel structure: Ch74 primary, Ch71 for ferries with tugs (Ch69 secondary), Ch69 for merchant ships with tugs (Ch71 secondary).","Commercial ships 1h before departure on Ch74: ETD, confirmation of navigational equipment/defects, tug requirement, dangerous goods, number of persons. Ferries: 15min and 5min before ETD or shifting.","Ferry-specific (outbound): 15min report, then 5min report before ETD or shifting.",,,none,,,,,,Nein,,any,8,1,Ferries: 15min and 5min before ETD or shifting.,required,outbound,products_issued_by_HO_services,"ADP/ALRS Vol 6, United Kingdom - Dover, Vessel Traffic Service, Procedure (7)-(9)",
